mês;operador;id_loja_atual;ds_subcategoria;real;resultado_modelo;resultado_ajustado
2019-05;Operador A;Loja 1;Produto B;0,005222599;0,001032023;0,001032023
2019-05;Operador A;Loja 1;Produto A;0,094563855;0,123994622;0,123994622
2019-06;Operador A;Loja 1;Produto H;0,120537579;0,105980869;0,105980869
2019-06;Operador A;Loja 1;Produto G;0,109697786;0,075916597;0,075916597
2019-06;Operador A;Loja 1;Produto F;0,061858781;0,072908261;0,072908261
2019-06;Operador A;Loja 1;Produto E;0,214846107;0,126743741;0,126743741
2019-06;Operador A;Loja 1;Produto I;0,117984309;0,17396241;0,17396241
2019-06;Operador A;Loja 1;Produto C;0,035768999;0,020782359;0,020782359
2019-06;Operador A;Loja 1;Produto B;0,003922752;0,002305274;0,002305274
2019-06;Operador A;Loja 1;Produto A;0,114804327;0,134706583;0,134706583
2019-06;Operador A;Loja 1;Produto D;0,074184114;0,044428307;0,044428307
2019-07;Operador A;Loja 1;Produto I;0,128522353;0,239551948;0,239551948
2019-07;Operador A;Loja 1;Produto H;0,08820389;0,126763813;0,126763813
2019-07;Operador A;Loja 1;Produto G;0,097070702;0,09190392;0,09190392
2019-07;Operador A;Loja 1;Produto F;0,084582888;0,110218269;0,110218269
2019-07;Operador A;Loja 1;Produto E;0,208555777;0,168831928;0,168831928
2019-07;Operador A;Loja 1;Produto D;0,082563484;0,055876981;0,055876981
2019-07;Operador A;Loja 1;Produto C;0,03713848;0,029842891;0,029842891
2019-07;Operador A;Loja 1;Produto B;0,004062021;0,003650871;0,003650871
2019-07;Operador A;Loja 1;Produto A;0,150062671;0,143940541;0,143940541
2019-08;Operador A;Loja 1;Produto H;0,079453136;0,082257357;0,082257357
2019-08;Operador A;Loja 1;Produto G;0,076203519;0,057147639;0,057147639
2019-08;Operador A;Loja 1;Produto F;0,083515157;0,06574886;0,06574886
2019-08;Operador A;Loja 1;Produto E;0,206884546;0,099456902;0,099456902
2019-08;Operador A;Loja 1;Produto I;0,098045587;0,144630959;0,144630959
2019-08;Operador A;Loja 1;Produto C;0,014808969;0,023163367;0,023163367
2019-08;Operador A;Loja 1;Produto B;0,010746948;0,00926023;0,00926023
2019-08;Operador A;Loja 1;Produto A;0,04776937;0,067258601;0,067258601
2019-08;Operador A;Loja 1;Produto D;0,044403695;0,034442038;0,034442038
2019-09;Operador A;Loja 1;Produto H;0,071468363;0,057493468;0,057493468
2019-09;Operador A;Loja 1;Produto G;0,060605357;0,04902529;0,04902529
2019-09;Operador A;Loja 1;Produto F;0,116313077;0,073009686;0,073009686
2019-09;Operador A;Loja 1;Produto E;0,266607864;0,116116339;0,116116339
2019-09;Operador A;Loja 1;Produto I;0,089666218;0,103823412;0,103823412
2019-09;Operador A;Loja 1;Produto C;0,007427696;0,012810941;0,012810941
2019-09;Operador A;Loja 1;Produto B;0,016573047;0,014085909;0,014085909
2019-09;Operador A;Loja 1;Produto A;0,0235133;0,02351924;0,02351924
2019-09;Operador A;Loja 1;Produto D;0,026136205;0,023532652;0,023532652
2019-10;Operador A;Loja 1;Produto I;0,112297479;0,151076897;0,151076897
2019-10;Operador A;Loja 1;Produto H;0,122835523;0,074229815;0,074229815
2019-10;Operador A;Loja 1;Produto G;0,094146047;0,082514495;0,082514495
2019-10;Operador A;Loja 1;Produto F;0,177707627;0,151497916;0,151497916
2019-10;Operador A;Loja 1;Produto E;0,440276682;0,208444936;0,208444936
2019-10;Operador A;Loja 1;Produto C;0,012952045;0,015358845;0,015358845
2019-10;Operador A;Loja 1;Produto B;0,019660183;0,01899318;0,01899318
2019-10;Operador A;Loja 1;Produto A;0,019474491;0,028407424;0,028407424
2019-10;Operador A;Loja 1;Produto D;0,055429182;0,042724995;0,042724995
2019-11;Operador A;Loja 1;Produto G;0,136576761;0,105283489;0,105283489
2019-11;Operador A;Loja 1;Produto I;0,222389861;0,209689866;0,209689866
2019-11;Operador A;Loja 1;Produto H;0,190288287;0,075995054;0,075995054
2019-11;Operador A;Loja 1;Produto F;0,274917599;0,230487143;0,230487143
2019-11;Operador A;Loja 1;Produto E;0,654008635;0,333100109;0,333100109
2019-11;Operador A;Loja 1;Produto D;0,08295808;0,047554642;0,047554642
2019-11;Operador A;Loja 1;Produto C;0,017315816;0,030371951;0,030371951
2019-11;Operador A;Loja 1;Produto B;0,063530013;0,026878192;0,026878192
2019-11;Operador A;Loja 1;Produto A;0,033076459;0,025243334;0,025243334
2019-12;Operador A;Loja 1;Produto I;0,087809294;0,118029066;0,118029066
2019-12;Operador A;Loja 1;Produto H;0,048163966;0,030091274;0,030091274
2019-12;Operador A;Loja 1;Produto G;0,04537858;0,057493891;0,057493891
2019-12;Operador A;Loja 1;Produto F;0,234993733;0,229136792;0,229136792
2019-12;Operador A;Loja 1;Produto E;0,301680516;0,172645494;0,172645494
2019-12;Operador A;Loja 1;Produto D;0,022840165;0,020650226;0,020650226
2019-12;Operador A;Loja 1;Produto C;0,007729446;0,011015253;0,011015253
2019-12;Operador A;Loja 1;Produto B;0,019056683;0,015436993;0,015436993
2019-12;Operador A;Loja 1;Produto A;0,016248085;0,012243979;0,012243979
2020-01;Operador A;Loja 1;Produto I;0,161946985;0,197056682;0,197056682
2020-01;Operador A;Loja 1;Produto H;0,05375795;0,049721307;0,049721307
2020-01;Operador A;Loja 1;Produto G;0,083097349;0,102212147;0,102212147
2020-01;Operador A;Loja 1;Produto F;0,25008124;0,290127065;0,290127065
2020-01;Operador A;Loja 1;Produto E;0,365187317;0,234419729;0,234419729
2020-01;Operador A;Loja 1;Produto D;0,029873265;0,033312559;0,033312559
2020-01;Operador A;Loja 1;Produto C;0,014901815;0,041549295;0,041549295
2020-01;Operador A;Loja 1;Produto B;0,029292976;0,02518609;0,02518609
2020-01;Operador A;Loja 1;Produto A;0,030499977;0,017055714;0,017055714
2020-02;Operador A;Loja 1;Produto I;0,13297897;0,178166123;0,178166123
2020-02;Operador A;Loja 1;Produto H;0,034701267;0,038021866;0,038021866
2020-02;Operador A;Loja 1;Produto G;0,054082912;0,076021323;0,076021323
2020-02;Operador A;Loja 1;Produto F;0,201870851;0,249612451;0,249612451
2020-02;Operador A;Loja 1;Produto E;0,23719883;0,171358926;0,171358926
2020-02;Operador A;Loja 1;Produto D;0,02590409;0,028987223;0,028987223
2020-02;Operador A;Loja 1;Produto C;0,016201662;0,020534647;0,020534647
2020-02;Operador A;Loja 1;Produto B;0,009470312;0,012382769;0,012382769
2020-02;Operador A;Loja 1;Produto A;0,051854603;0,033076445;0,033076445
2020-03;Operador A;Loja 1;Produto I;0,148530709;0,190602688;0,190602688
2020-03;Operador A;Loja 1;Produto H;0,062856878;0,055216166;0,055216166
2020-03;Operador A;Loja 1;Produto G;0,070748805;0,090336705;0,090336705
2020-03;Operador A;Loja 1;Produto F;0,097395664;0,149017896;0,149017896
2020-03;Operador A;Loja 1;Produto E;0,158952695;0,089052725;0,089052725
2020-03;Operador A;Loja 1;Produto D;0,022027761;0,03749087;0,03749087
2020-03;Operador A;Loja 1;Produto C;0,020542222;0,02316249;0,02316249
2020-03;Operador A;Loja 1;Produto B;0,003087136;0,007933638;0,007933638
2020-03;Operador A;Loja 1;Produto A;0,132050508;0,123680804;0,123680804
2020-04;Operador A;Loja 1;Produto I;0,403509586;0,21942589;0,21942589
2020-04;Operador A;Loja 1;Produto H;0,146395246;0,067082107;0,067082107
2020-04;Operador A;Loja 1;Produto G;0,17594355;0,113337223;0,113337223
2020-04;Operador A;Loja 1;Produto F;0,161830927;0,154932322;0,154932322
2020-04;Operador A;Loja 1;Produto E;0,423726846;0,074375523;0,074375523
2020-04;Operador A;Loja 1;Produto D;0,050299429;0,042018966;0,042018966
2020-04;Operador A;Loja 1;Produto C;0,045633907;0,038844629;0,038844629
